Name,birthdate,Deathdate,duration_of_reign
Gorm_den_Gamle,NA,958,22
Harald_1_Blåtand ,NA,987,28
Svend_1_Tveskæg,963,1014,28
Harald_2,NA,1018,4
Kund_1_den_Store,995,1035,17
Hardekund ,1018,1042,7
Magnus_den_Gode,1024,1047,5
Svend_2_Estridsen,1019,1076,37
Harald_3_Hen,1041,1080,6
Kund_2_den_Hellige,1043,1086,6
Oluf_1_Hunger,1050,1095,9
Erik_1_Ejegod,1055,1103,8
Niels,1065,1134,30
Erik_2_Emune,1100,1137,3
Erik_3_Lam,1120,1146,9
Svend_3,1125,1157,9
Knud_3,1129,1157,9
Valdemar_1_den_Store,1131,1182,34
Knud_4,1163,1202,20
Valdemar_2_Sejr,1170,1241,39
Erik_4_Plovpenning,1216,1250,9
Abel,1218,1252,2
Christoffer_1,1219,1259,7
Erik_5_Klipping,1249,1286,27
Erik_6_Menved,1274,1319,33
Christoffer_2,1276,1332,10
Valdemar_3,1315,1329,3
Valdemar_4_Atterdag,1320,1375,35
Oluf_2,1370,1387,12
Margret_1 ,1353,1396,9
Erik_7_af_Pommern,1382,1439,43
Christoffer_3_af_Bayern,1416,1448,8
Christian_1,1426,1481,33
Hans,1455,1513,31
Christian_2,1481,1559,10
Frederik_1,1471,1533,10
Christian_3,1503,1559,23
Frederik_2,1534,1588,29
Christian_4,1577,1648,60
Frederik_3,1609,1670,22
Christian_5,1646,1699,29
Frederik_4,1671,1730,31
Christian_6,1699,1746,16
Frederik_5,1723,1766,20
Christian_7,1749,1808,42
Frederik_6,1768,1839,31
Christian_8,1786,1848,9
Frederik_7,1808,1863,15
Christian_9,1818,1906,43
Frederik_8,1843,1912,6
Christian_10,1870,1947,35
Frederik_9,1899,1972,25
Margret_2,1940,NA,50